,GEOID10_TRACT,state,Life expectancy (years),Unemployed civilians (percent),Percent of individuals < 200% Federal Poverty Line,Median value ($) of owner-occupied housing units,Percent individuals age 25 or over with less than high school degree,Percent enrollment in college or graduate school,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Non-Hispanic White,Linguistic isolation (percent),Current lack of health insurance among adults aged 18-64 years,Median household income in the past 12 months,Percent Hispanic or Latino,hbrd_rank,current_methodology_percent,current_summed_methodology,Urban Heuristic Flag,state_name
2501,25001010100,25,78.7,7.373020207536859,22.380467955239062,601900,4.4781643227239005,1.96353436185133,1.9172552976791097,0.0,89.53918600739993,2.5264394829612202,6.6,59063,4.1708711738984094,91.9034090909091,37.0,640,1,MA
2502,25001015300,25,69.9,6.902086677367569,52.50227479526842,290800,18.21112006446414,4.4776119402985,14.28571428571428,0.0,66.30269942371854,10.61093247588424,14.9,37695,15.31695480740066,93.4659090909091,45.0,690,1,MA
2503,25003900200,25,73.1,1.73141891891891,47.998230479982304,123900,12.60884709160571,6.767354051699099,8.02550571679859,0.30782761653474,77.26473175021987,0.80930703085483,13.4,41223,9.586631486367631,91.1221590909091,44.0,940,1,MA
2504,25003900600,25,74.3,19.871382636655948,56.77335919818945,130200,20.99644128113879,6.4789818742769,12.41157556270096,0.83601286173633,67.29903536977491,3.94289598912304,14.9,26897,10.61093247588424,94.8153409090909,48.0,715,1,MA
2505,25005631400,25,73.5,8.4070796460177,46.83592269799166,266700,13.56450790413054,5.9040590405904005,4.71876179690449,0.90600226500566,73.23518308795772,5.8181818181818095,14.6,44643,16.64779161947905,90.625,49.0,565,1,MA
2506,25005640901,25,76.4,8.84077582318448,50.1892635925671,237200,29.52920143027414,10.12370613481444,16.14991482112436,0.61328790459965,65.84327086882453,11.02588686481303,15.1,44842,10.0511073253833,90.1278409090909,43.0,905,1,MA
2507,25005641101,25,69.5,4.23076923076923,71.29217059197963,224200,22.48186946011281,4.91684743311641,10.82113303628262,0.0,69.1279439847231,15.84158415841584,17.0,16935,17.63208147676639,96.23579545454544,55.00000000000001,550,1,MA
2508,25005641400,25,77.4,7.90916209866875,53.96525679758308,200800,30.708245243128964,5.76752440106477,9.72733971997052,0.0,61.974944731024316,20.13626040878122,16.3,26304,10.68533529845246,91.33522727272728,48.0,564,1,MA
2509,25005642000,25,74.5,9.06040268456375,56.6058801637514,214900,26.465841850457227,9.306569343065691,4.76367696315593,0.0,66.35653144771119,12.43523316062176,16.0,23775,24.71157424637141,98.4375,54.0,759,1,MA
2510,25005650600,25,81.0,9.115523465703971,59.13642052565707,179200,21.57598499061913,5.66114031540638,3.03504380475594,0.0,45.55694618272841,12.157153446997771,17.5,35426,42.490613266583225,99.00568181818184,50.0,674,1,MA
2511,25005650700,25,68.1,4.05643738977072,63.21649484536083,194200,38.07878369039392,4.42825112107623,4.2640426404264,0.1230012300123,38.78638786387864,27.70809578107183,26.4,32770,55.59655596555966,97.65625,50.0,410,1,MA
2512,25005651300,25,77.5,14.022988505747119,51.87731359069275,222600,19.721254355400692,6.20333141872487,16.20810405202601,0.35017508754376997,49.6248124062031,3.6830357142857104,15.7,27102,13.80690345172586,95.73863636363636,52.0,447,1,MA
2513,25005651400,25,73.8,6.96286472148541,42.707672796448946,201100,19.223907225691338,4.96074232690935,6.51651651651651,0.30030030030029997,49.3093093093093,7.668231611893581,14.6,36500,20.54054054054054,92.64914772727272,43.0,525,1,MA
