,state_name,Urban Heuristic Flag,GEOID10_TRACT nunique,Percent of individuals < 200% Federal Poverty Line median,Percent of individuals < 200% Federal Poverty Line nunique,Percent of individuals < 200% Federal Poverty Line std,Median value ($) of owner-occupied housing units median,Median value ($) of owner-occupied housing units nunique,Median value ($) of owner-occupied housing units std,Percent individuals age 25 or over with less than high school degree median,Percent individuals age 25 or over with less than high school degree nunique,Percent individuals age 25 or over with less than high school degree std,Percent enrollment in college or graduate school median,Percent enrollment in college or graduate school nunique,Percent enrollment in college or graduate school std,Percent Black or African American alone median,Percent Black or African American alone nunique,Percent Black or African American alone std,Percent American Indian and Alaska Native alone median,Percent American Indian and Alaska Native alone nunique,Percent American Indian and Alaska Native alone std,Percent Non-Hispanic White median,Percent Non-Hispanic White nunique,Percent Non-Hispanic White std,Linguistic isolation (percent) median,Linguistic isolation (percent) nunique,Linguistic isolation (percent) std,Current lack of health insurance among adults aged 18-64 years median,Current lack of health insurance among adults aged 18-64 years nunique,Current lack of health insurance among adults aged 18-64 years std,Median household income in the past 12 months median,Median household income in the past 12 months nunique,Median household income in the past 12 months std,Percent Hispanic or Latino median,Percent Hispanic or Latino nunique,Percent Hispanic or Latino std,hbrd_rank median,hbrd_rank nunique,hbrd_rank std,current_methodology_percent median,current_methodology_percent nunique,current_methodology_percent std,current_summed_methodology median,current_summed_methodology nunique,current_summed_methodology std,current_summed_methodology sum
6,CA,1,685,55.975485188968335,684,13.348436811876525,411100.0,633,233794.65161940802,34.96143958868895,684,14.565608018825271,9.13601868067717,683,5.627143093715602,6.508293505763279,662,12.304472705047791,0.3216468317787,438,1.2837912033424899,8.744880751626111,674,18.652812850883357,18.06656101426307,681,11.613558637284015,27.0,282,8.197427595471273,41250.0,665,12731.12900622646,64.63466440101953,685,25.373696751180265,94.75775442194308,616,2.7919445170255623,54.0,44,7.693322238718901,705.0,350,257.87544032770364,506752
12,FL,0,1,48.97645854657114,1,,168300.0,1,,14.73612063056888,1,,3.32728372655777,1,,22.12028542303771,1,,0.7135575942915301,1,,65.34148827726808,1,,1.43061516452074,1,,22.8,1,,37039.0,1,,7.3394495412844,1,,91.03915662650604,1,,36.0,1,,238.0,1,,238
13,FL,1,350,58.0728667787062,350,13.58695310617911,166900.0,326,109183.3548179393,22.473117304514215,350,9.959989825022053,7.213391608062336,348,5.451882932155088,30.89610175432786,348,31.35953407456148,0.0,106,0.678181363103059,9.27991961686264,350,18.905287243689628,16.636256747147108,334,18.11633534258064,33.05,211,8.03643474061449,33946.5,347,10606.134706466586,35.11119652223279,350,33.257919110169546,94.79166666666666,345,2.8753727477905833,51.0,42,8.318563196570775,780.0,255,370.9798588458127,295080
44,NY,1,432,55.19718560811199,432,13.860182413776785,496050.0,408,268179.5782809089,26.28664999949185,432,9.833662676899122,8.12315134333376,432,3.9977074095874046,25.86108771692104,418,27.72525958056669,0.0,198,1.1375598450102253,7.725997598404629,427,28.182289558377928,17.379719244920807,429,14.41610407829729,23.7,204,6.164823267567395,39639.5,427,14923.292385546532,30.061539490626934,432,26.23689310099117,94.85941189096371,403,2.8872016096350777,56.99999999999999,36,7.152462812528941,657.5,287,358.13857527868544,308635
57,TX,0,3,57.80241369632332,3,11.03467150879652,123300.0,3,64360.650504274214,22.02771699489423,3,12.510892449908296,6.53992395437262,3,18.42403447943827,0.08499787505312,3,2.071363420178347,0.62219149671621,3,1.9070235904333404,61.96345091372716,3,32.62087845409209,9.957401490947811,3,3.7501021584501997,27.5,3,9.904712683027878,40217.0,3,9344.522477544442,32.04419889502762,3,34.04549151728287,92.2200730711369,3,1.249668678669031,35.0,2,1.154700538379251,358.0,3,190.43721625074585,1313
58,TX,1,371,60.33469018543646,371,13.591687690728692,103500.0,329,98106.08281174648,27.297939778129948,371,14.143811656544482,6.398730830248541,371,7.975451122119052,16.52242328874901,352,23.497536914925483,0.0,184,0.8669864809150285,12.07965433026488,369,18.732404943089673,11.36150234741784,358,14.299179881347364,38.7,247,10.64092518753883,34594.0,367,11679.563262015969,51.24603534209334,371,27.379039892071198,94.51966473243068,357,2.675150990414504,44.0,40,7.646688421236115,680.0,263,337.3482778476365,270057
