,OpenLayers,OpenLayers+MB,OpenLayers+React,Leaflet,Mapbox,Mapbox React
Style Loaded,408.89,383.19,439.83,1782.45,147.41,0.00
Map Idle,207.23,1263.27,1318.54,120.00,1970.86,1659.42
DOM Interactive,146.15,108.78,171.48,124.38,143.74,269.40
DOM complete,146.45,109.33,171.69,160.65,166.53,374.69
